tt0049041|nm0788899|Pal Sharma	
tt0049195|nm0360262|David Hannaford	
tt0049928|nm0718106|Gottfried Reinhardt	
tt0050188|nm1537315|Amarnath	
tt0050307|nm0497446|Jack G. Lee	
tt0050354|nm2365778|Günter Klein	
tt0050414|nm0558638|Grace Mathews	
tt0050476|nm1163127|Kenzô Asada	
tt0050562|nm0131512|Bruce Cameron	
tt0051221|nm0703736|Charles Quinlivan	
tt0051310|nm0310025|Alexander Gauge	
tt0051618|nm0276102	
tt0051618|nm0333122|Bernie Gozier	
tt0051618|nm0946753	
tt0051934|158	
tt0051934|nm0007639	
tt0051934|nm0007639|Djordje Abadzijev	
tt0051934|nm0044937|Milica Babic-Andric	
tt0051934|nm0228377|Predrag Disljenkovic	
tt0051934|nm0238152|Bozidar Drnic	
tt0051934|nm0455979|Dimitar Kostarov	
tt0051934|nm0482397|Ivan Lalic	
tt0051934|nm0527764|Rados Luzanin	
tt0051934|nm0631948|Todor Nikolovski	
tt0051934|nm0691355	
tt0051934|nm0698200|Petar Prlicko	
tt0051934|nm0729793|Nada Riznic	
tt0051934|nm0750458|Ivan Rupnik	
tt0051934|nm0819052|Olga Spiridonovic	
tt0051934|nm1333098|Nikola Avtovski	
tt0051934|nm1334008|Dimce Gecevski	
tt0051934|nm1335827|Dimce Stefanovski	
tt0051934|nm1494337|Predrag Stajic	
tt0051934|nm2372184|Petar Veljanovski	
tt0051934|nm2901429|Bozidar Mitrovic	
tt0051934|nm2919136|Blagoja Kocevski	
tt0051934|nm4109391|Metodi Zendelski	
tt0051934|nm5151690|Pance Grncarov	
tt0051934|nm5151818|Zarko Kojcev	
tt0052315|nm0591695|George Minter	
tt0052520|nm0334986|Bert Granet	
tt0052538|nm0865063|Marija Tocinoski	
tt0052606|nm4796035|Jack Botthof	
tt0052623|nm0591695|George Minter	
tt0053351|nm4796035|Jack Botthof	
tt0053494|nm0364180|Wyn Bowen Harries	
tt0053583|nm0058826	
tt0053583|nm0111895|Bud Brooks	
tt0053583|nm0205156|Michael Davis	
tt0053583|nm0544202|Ben Mantz	
tt0053583|nm0609864|Leonard Mountain Chief	
tt0053583|nm0756340|Mort Sahl	
tt0053583|nm4809736|Emit Dambacher	
tt0053634|nm0639396|Melody O'Brian	
tt0053682|nm0097115|Hildegard Bornkessel	
tt0053740|nm0008048|Ronald Abbott	
tt0054009|nm0813924|Ferenc Somló	
tt0054510|nm0874995|Marie Tsien	
tt0054518|nm0484820|Harry Landis	
tt0055097|nm0300457|Dan Gachman	
tt0055447|nm2102557|Oskar Danon	
tt0055458|nm0486538|Noel Langley	
tt0055783|nm0802364|Lata Sinha	
tt0056232|nm1568687|M. Ashfaq	
tt0056560|nm0506475|Joe Levy	
tt0056704|nm0031553|John Antrobus	
tt0056745|nm0874995|Marie Tsien	
tt0056757|nm0205156|Michael Davis	
tt0057028|nm0049587	
tt0057028|nm0181247|Georg Corten	
tt0057028|nm0527331	
tt0057028|nm0718106	
